Step_ID,Component_Name,Type,Incremental_Cost,Cumulative_Cost,Pct_Share,Description
0,Original Baseline Budget (BAC),Baseline,26500000,26500000,0.0,Approved EPC baseline contract budget ceiling
1,WBS 1.1 Detail Structural Engineering,Variance,300000,26800000,3.4,Redesign of connection plates & third-party DNV class review
2,WBS 1.2 Procurement & Tubular Steel,Variance,600000,27400000,6.7,Subsea tubular steel price inflation & mud pump freight surcharge
3,WBS 1.3.1 Verdal Sub-Structure Yard,Variance,200000,27600000,2.2,Minor yard overtime for weld inspection
4,WBS 1.3.2 Egersund Derrick Mast Rework,Variance,2400000,30000000,26.9,PRIMARY YARD REWORK DRIVER: Pipe out-of-tolerance & 24/7 NDT welding
5,WBS 1.4.1 Heavy Lift Vessel Standby,Variance,1300000,31300000,14.6,North Sea autumn weather standby rates (Heerema Sleipnir)
6,WBS 1.4.2 Topside Lifting & Mating,Variance,100000,31400000,1.1,Pre-lift trial fitting and alignment fixtures
7,WBS 1.5 Hook-up & Commissioning,Variance,200000,31600000,2.2,Extended offshore commissioning specialist crew
8,Time Delay Overhead Spread (SPI_t),Variance,3813604,35413604,42.8,TIME DELAY SPREAD: +31-day delay spreading PMO & site overhead
9,Final Outturn Forecast (EAC),Outturn,35413604,35413604,100.0,Final predicted cost outcome at project completion
