Period,Monthly_PV,Monthly_EV,Monthly_AC,Cum_AC,Remaining_BAC,Runway_Status
M1 (Jan 26),300000,300000,320000,320000,26180000,Baseline Runway
M2 (Feb 26),900000,840000,950000,1270000,25230000,Baseline Runway
M3 (Mar 26),2700000,2260000,2900000,4170000,22330000,Baseline Runway
M4 (Apr 26),3800000,3520000,4050000,8220000,18280000,Baseline Runway
M5 (May 26),3000000,2900000,3220000,11440000,15060000,Baseline Runway
M6 (Jun 26),4000000,2750000,4450000,15890000,10610000,Peak Yard Spend Phase
M7 (Jul 26),3000000,2620000,3850000,19740000,6760000,Peak Yard Spend Phase
M8 (Aug 26 - Now),2800000,2350000,3700000,23440000,3060000,Critical Runway ($3.06M Left)
M9 (Sep 26 - Burn),2500000,2100000,3200000,26640000,-140000,100% BUDGET BURN OUT!
M10 (Oct 26),1500000,2200000,3300000,29940000,-3440000,Overrun Financing Phase
M11 (Nov 26),1000000,2000000,2500000,32440000,-5940000,Overrun Financing Phase
M12 (Dec 26),1000000,1800000,1800000,34240000,-7740000,Overrun Financing Phase
M13 (Jan 27 - COD),0,860000,1173604,35413604,-8913604,Final COD (+8.91M Overrun)
