Task_ID,Date_Key,Total_Budget_Cost,PV_Incremental,EV_Physical_Percent,EV_Incremental_Calculated,AC_Incremental
T101,2026-01-31,1200000,300000,0.25,300000.0,320000
T102,2026-01-31,1800000,0,0.0,0.0,0
T103,2026-01-31,3500000,0,0.0,0.0,0
T104,2026-01-31,4200000,0,0.0,0.0,0
T105,2026-01-31,4000000,0,0.0,0.0,0
T106,2026-01-31,4800000,0,0.0,0.0,0
T107,2026-01-31,2500000,0,0.0,0.0,0
T108,2026-01-31,2000000,0,0.0,0.0,0
T109,2026-01-31,1000000,0,0.0,0.0,0
T110,2026-01-31,1500000,0,0.0,0.0,0
T101,2026-02-28,1200000,500000,0.65,480000.0,540000
T102,2026-02-28,1800000,400000,0.2,360000.0,410000
T103,2026-02-28,3500000,0,0.0,0.0,0
T104,2026-02-28,4200000,0,0.0,0.0,0
T105,2026-02-28,4000000,0,0.0,0.0,0
T106,2026-02-28,4800000,0,0.0,0.0,0
T107,2026-02-28,2500000,0,0.0,0.0,0
T108,2026-02-28,2000000,0,0.0,0.0,0
T109,2026-02-28,1000000,0,0.0,0.0,0
T110,2026-02-28,1500000,0,0.0,0.0,0
T101,2026-03-31,1200000,400000,1.0,420000.0,430000
T102,2026-03-31,1800000,800000,0.6,720000.0,850000
T103,2026-03-31,3500000,1000000,0.2,700000.0,1100000
T104,2026-03-31,4200000,500000,0.1,420000.0,520000
T105,2026-03-31,4000000,0,0.0,0.0,0
T106,2026-03-31,4800000,0,0.0,0.0,0
T107,2026-03-31,2500000,0,0.0,0.0,0
T108,2026-03-31,2000000,0,0.0,0.0,0
T109,2026-03-31,1000000,0,0.0,0.0,0
T110,2026-03-31,1500000,0,0.0,0.0,0
T101,2026-04-30,1200000,0,1.0,0.0,0
T102,2026-04-30,1800000,600000,1.0,720000.0,620000
T103,2026-04-30,3500000,2000000,0.7,1750000.0,2150000
T104,2026-04-30,4200000,1200000,0.35,1050000.0,1280000
T105,2026-04-30,4000000,0,0.0,0.0,0
T106,2026-04-30,4800000,0,0.0,0.0,0
T107,2026-04-30,2500000,0,0.0,0.0,0
T108,2026-04-30,2000000,0,0.0,0.0,0
T109,2026-04-30,1000000,0,0.0,0.0,0
T110,2026-04-30,1500000,0,0.0,0.0,0
T101,2026-05-31,1200000,0,1.0,0.0,0
T102,2026-05-31,1800000,0,1.0,0.0,0
T103,2026-05-31,3500000,500000,1.0,1050000.0,520000
T104,2026-05-31,4200000,1500000,0.6,1050000.0,1600000
T105,2026-05-31,4000000,1000000,0.2,800000.0,1100000
T106,2026-05-31,4800000,0,0.0,0.0,0
T107,2026-05-31,2500000,0,0.0,0.0,0
T108,2026-05-31,2000000,0,0.0,0.0,0
T109,2026-05-31,1000000,0,0.0,0.0,0
T110,2026-05-31,1500000,0,0.0,0.0,0
T101,2026-06-30,1200000,0,1.0,0.0,0
T102,2026-06-30,1800000,0,1.0,0.0,0
T103,2026-06-30,3500000,0,1.0,0.0,0
T104,2026-06-30,4200000,1000000,0.75,630000.0,1100000
T105,2026-06-30,4000000,2000000,0.55,1400000.0,2200000
T106,2026-06-30,4800000,1000000,0.15,720000.0,1150000
T107,2026-06-30,2500000,0,0.0,0.0,0
T108,2026-06-30,2000000,0,0.0,0.0,0
T109,2026-06-30,1000000,0,0.0,0.0,0
T110,2026-06-30,1500000,0,0.0,0.0,0
T101,2026-07-31,1200000,0,1.0,0.0,0
T102,2026-07-31,1800000,0,1.0,0.0,0
T103,2026-07-31,3500000,0,1.0,0.0,0
T104,2026-07-31,4200000,0,0.85,420000.0,450000
T105,2026-07-31,4000000,1000000,0.8,1000000.0,1150000
T106,2026-07-31,4800000,2000000,0.4,1200000.0,2250000
T107,2026-07-31,2500000,0,0.0,0.0,0
T108,2026-07-31,2000000,0,0.0,0.0,0
T109,2026-07-31,1000000,0,0.0,0.0,0
T110,2026-07-31,1500000,0,0.0,0.0,0
T101,2026-08-31,1200000,0,1.0,0.0,0
T102,2026-08-31,1800000,0,1.0,0.0,0
T103,2026-08-31,3500000,0,1.0,0.0,0
T104,2026-08-31,4200000,0,0.85,0.0,0
T105,2026-08-31,4000000,0,0.9,400000.0,450000
T106,2026-08-31,4800000,1800000,0.65,1200000.0,2050000
T107,2026-08-31,2500000,1000000,0.3,750000.0,1200000
T108,2026-08-31,2000000,0,0.0,0.0,0
T109,2026-08-31,1000000,0,0.0,0.0,0
T110,2026-08-31,1500000,0,0.0,0.0,0
T101,2026-09-30,1200000,0,1.0,0.0,0
T102,2026-09-30,1800000,0,1.0,0.0,0
T103,2026-09-30,3500000,0,1.0,0.0,0
T104,2026-09-30,4200000,0,0.85,0.0,0
T105,2026-09-30,4000000,0,0.9,0.0,0
T106,2026-09-30,4800000,0,0.65,0.0,0
T107,2026-09-30,2500000,1500000,0.3,0.0,0
T108,2026-09-30,2000000,1000000,0.0,0.0,0
T109,2026-09-30,1000000,0,0.0,0.0,0
T110,2026-09-30,1500000,0,0.0,0.0,0
T101,2026-10-31,1200000,0,1.0,0.0,0
T102,2026-10-31,1800000,0,1.0,0.0,0
T103,2026-10-31,3500000,0,1.0,0.0,0
T104,2026-10-31,4200000,0,0.85,0.0,0
T105,2026-10-31,4000000,0,0.9,0.0,0
T106,2026-10-31,4800000,0,0.65,0.0,0
T107,2026-10-31,2500000,0,0.3,0.0,0
T108,2026-10-31,2000000,1000000,0.0,0.0,0
T109,2026-10-31,1000000,500000,0.0,0.0,0
T110,2026-10-31,1500000,0,0.0,0.0,0
T101,2026-11-30,1200000,0,1.0,0.0,0
T102,2026-11-30,1800000,0,1.0,0.0,0
T103,2026-11-30,3500000,0,1.0,0.0,0
T104,2026-11-30,4200000,0,0.85,0.0,0
T105,2026-11-30,4000000,0,0.9,0.0,0
T106,2026-11-30,4800000,0,0.65,0.0,0
T107,2026-11-30,2500000,0,0.3,0.0,0
T108,2026-11-30,2000000,0,0.0,0.0,0
